Product name,SKU,Slug,Category,Brand,Quantity,Minimum stock,First price,Second price,Third price,Purchase price (cost),Weight (kg),Barcode,Description,Status,Images
tmar,tmar,tmar,product,,7,0,35,0,0,35,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788594625/inventory-system/products/mesunkaei9ojmyqwicto.jpg
toast fresh,toast-fresh,toast-fresh,product,,15,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788347232/inventory-system/products/ojdybxl604ggcfe5ukbg.jpg
tosst cerual,tosst-cerual,tosst-cerual,product,,19,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788346553/inventory-system/products/uubfmkm8nzjtpkw4p0gn.jpg
tosst naturl,tosst naturl,tosst-naturl,product,,11,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788346285/inventory-system/products/sg0m4yntu8zf8awoorbq.jpg
v.h,v.h,vh,product,,58,0,120,0,0,120,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788360579/inventory-system/products/qqdul7fsqfuridxntczl.jpg
valencia coco,85,valencia-coco,boisson,ABM,76,0,13.5,0,0,12.5,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789052882/inventory-system/products/f23cqmfyzguec80siwww.webp
vervienne,lwiza,lwiza,bar,,13.6,0,12,0,0,120,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788513183/inventory-system/products/f937hpggolgleffuhg0a.jpg
z3itra,z3itra,z3itra,product,,8,0,0,0,0,30,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788345929/inventory-system/products/r9s2pyuuwhtnvitio8ih.jpg
zabda 1kg *25kg,zabda1,zabda1,product,,67.6,0,0,0,0,65,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788347560/inventory-system/products/ifojcsdyoudo2drobyn4.avif
zanjabil,zanjabil,zanjabil,product,,5,0,60,0,0,55,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788595007/inventory-system/products/zfirs12ncepmybfaqsn6.jpg
